DATAFLOW,LAST UPDATE,freq,unit,tra_infr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PL,2017,24899,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PL,2018,24906,b
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PL,2019,25153,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PL,2020,25145,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PL,2021,25267,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PT,2012,2328,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PT,2013,2328,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PT,2014,2328.400,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PT,2015,2337.200,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PT,2016,2337.200,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PT,2017,2337.200,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PT,2018,2337.200,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PT,2019,2393.690,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PT,2020,2393.690,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,PT,2021,2489.211,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RO,2012,8511,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RO,2013,8549,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RO,2014,8533,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RO,2015,8525,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RO,2016,8525,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RO,2017,8523,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RO,2018,8522,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RO,2019,8519,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RO,2020,8528,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RO,2021,8530,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RS,2013,2269,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RS,2014,2266,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RS,2015,2399,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RS,2016,2399,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RS,2017,2398,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RS,2019,2384,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,RS,2020,2356,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SE,2012,11952,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SE,2013,12035,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SE,2014,12139,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SE,2015,12144,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SE,2016,12089,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SE,2017,12121,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SE,2018,12146,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SE,2019,12143,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SE,2020,12166,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SE,2021,3391,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SI,2012,1289,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SI,2013,1289,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SI,2014,1289,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SI,2015,1289,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SI,2016,1289,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SI,2017,1465,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SI,2018,1465,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SI,2019,1465,
ESTAT:RAIL_IF_TRACKS(1.0),30/01/23 23:00:00,A,KM,RT_ELC,SI,2020,1579,
