FullName,Party,Constituency,Term
Tsochatzopoulos Apostolos - Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),State,3
Tsovolas Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Arta,3
Tzannetakis Tzannis ,NEA DIMOKRATIA,Athens A,3
Tzitzikostas Georgios ,NEA DIMOKRATIA,Thessaloniki B,3
Tzoumakas Stefanos ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Vagiatis Ioannis ,NEA DIMOKRATIA,Kozani,3
Valtadoros Angelos ,NEA DIMOKRATIA,Imathia,3
Valvis or Katsipis Petros ,PA.SO.K. (Panhellenic Socialist Movement),Cyclades,3
Valyrakis Ioan. Iosif ,PA.SO.K. (Panhellenic Socialist Movement),Chania,3
Varkaris Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Chios,3
Varvitsiotis Ioannis ,NEA DIMOKRATIA,Athens B,3
Vasalos Vasalios - Konstantinos ,KOMMOUNISTIKO KOMMA ELLADAS,Lesvos,3
Vasileiou Spilios ,PA.SO.K. (Panhellenic Socialist Movement),Argolida,3
Vathis Michail ,PA.SO.K. (Panhellenic Socialist Movement),Of Attica (rest),3
Veryvakis Eleftherios ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,3
Vezdrevanis Ilias ,NEA DIMOKRATIA,Thesprotia,3
Vlachothanasis Angelis ,NEA DIMOKRATIA,Evia,3
Vogiatzis Georgios ,NEA DIMOKRATIA,Evia,3
Vougiouklakis Ilias ,NEA DIMOKRATIA,Piraeus B,3
Vounatsos Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Lesvos,3
Vradelis Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Rodopi,3
Vrettakos Dimitrios ,NEA DIMOKRATIA,Athens B,3
Xanthopoulos Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Halkidiki,3
Xarchas Athanasios ,NEA DIMOKRATIA,Fthiotida,3
Zakolikos Pafsanias ,PA.SO.K. (Panhellenic Socialist Movement),Magnesia,3
Zervos Kleanthis ,PA.SO.K. (Panhellenic Socialist Movement),Dodecanese Islands,3
Agorastis Vasileios ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,4
Akrita Sylva - Kaiti ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,4
Akritidis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,4
Alevras Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,4
Alexandris Efstathios (Stathis) ,PA.SO.K. (Panhellenic Socialist Movement),Fokida,4
Alexiou Thomas ,NEA DIMOKRATIA,Xanthi,4
Amanatidis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki B,4
Anagnostopoulos Nikolaos ,NEA DIMOKRATIA,Athens A,4
Anagnostopoulos Theodoros ,NEA DIMOKRATIA,Karditsa,4
Anastasakis Nikos ,NEA DIMOKRATIA,Athens A,4
Anastasakos Serafeim ,PA.SO.K. (Panhellenic Socialist Movement),Karditsa,4
Anastasopoulos Nikolaos ,NEA DIMOKRATIA,Messinia,4
Angelousis Angelos ,NEA DIMOKRATIA,Serres,4
Antonakoudis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Evros,4
Argyropoulos Nikolaos ,NEA DIMOKRATIA,Fthiotida,4
Arsenis Gerasimos ,PA.SO.K. (Panhellenic Socialist Movement),State,4
Aslanis Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,4
Athanasopoulos Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki A,4
Atmatzidis Charalampos ,PA.SO.K. (Panhellenic Socialist Movement),Xanthi,4
Averof - Tositsas Evangelos ,NEA DIMOKRATIA,State,4
Avramidis Alexandros ,NEA DIMOKRATIA,Kilkis,4
Balkos Anastasios ,NEA DIMOKRATIA,Preveza,4
Bantouvas Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,4
Basagiannis Christos ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,4
Batsos Athanasios ,PA.SO.K. (Panhellenic Socialist Movement),Fthiotida,4
Bekiris Vasileios ,NEA DIMOKRATIA,Achaia,4
Benaki - Psarouda Anna Evangelou,NEA DIMOKRATIA,Athens A,4
Bletsas Stylianos ,NEA DIMOKRATIA,Rodopi,4
Bougas Georgios ,NEA DIMOKRATIA,Piraeus B,4
Boulakis Lazaros ,PA.SO.K. (Panhellenic Socialist Movement),Halkidiki,4
Bouloukos Aristodimos ,NEA DIMOKRATIA,Athens B,4
Bouloukos Dionysios ,NEA DIMOKRATIA,Athens A,4
Bourdara Kalliopi ,PA.SO.K. (Panhellenic Socialist Movement),Athens A,4
Boutos Ioannis ,NEA DIMOKRATIA,Messinia,4
Brillakis Antonios ,Communist Party of Greece (Interior),Athens B,4
Charalampopoulos Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,4
Charalampous Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Athens B,4
Chatzidimitriou Dimitrios ,NEA DIMOKRATIA,Imathia,4
Chatzigakis Sotirios ,NEA DIMOKRATIA,Trikala,4
Chatzinakis Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Lasithi,4
Chatzinikolaou Panagiotis ,NEA DIMOKRATIA,Evros,4
Chiotakis Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Dodecanese Islands,4
Chondrokoukis Dimitrios ,NEA DIMOKRATIA,Piraeus A,4
Choulis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Samos,4
Damanaki Maria Theodorou,KOMMOUNISTIKO KOMMA ELLADAS,Athens B,4
